batch_id,zone_id,type_id,uav_id,battery_id,box_ids,start_s,prep_end_s,launch_s,arrival_s,handoff_end_s,return_s,charge_start_s,charge_end_s,charge_s,mass_kg,volume_m3,energy_kwh,return_soc
Q010,S005,A,U03,A-B06,S005-MED-01;S005-WAT-01,1612.11118166,1912.11118166,1972.11118166,2530.96597414,2740.96597414,3304.30743328,3304.30743328,4417.13878845,1112.83135517,17,0.039,2.12133930635,0.528591265256
Q018,S009,C,U07,C-B04,S009-MED-01;S009-WAT-01,1843.81201864,2143.81201864,2203.81201864,2681.9812944,2933.9812944,3422.38057015,3422.38057015,5252.32042542,1829.93985527,17,0.039,3.67977792714,0.540027759108
Q022,S011,A,U02,A-B01,S011-MED-01;S011-WAT-01,2192.38689134,2492.38689134,2552.38689134,2875.58701751,3085.58701751,3414.41381034,3414.41381034,4247.22149939,832.807689042,17,0.039,1.15202661592,0.743994085352
Q021,S010,A,U04,A-B03,S010-FOD-01,2677.74034483,2977.74034483,3007.74034483,3542.70671066,3722.70671066,4272.59974315,4272.59974315,5312.22408179,1039.62433864,8,0.028,1.86793040299,0.584904354891
Q025,S012,B,U05,B-B01,S012-FOD-01,3229.64462012,3529.64462012,3559.64462012,4200.9418981,4380.9418981,5032.37917609,5032.37917609,6691.17232536,1658.79314927,8,0.028,2.28952265216,0.427619336961
Q027,S013,A,U03,A-B04,S013-FOD-01,3304.30743328,3604.30743328,3634.30743328,4147.89635745,4327.89635745,4856.41861495,4856.41861495,5896.99698184,1040.57836689,8,0.028,1.87123280847,0.584170487007
Q002,S001,C,U07,C-B02,S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-FOD-01,3422.38057015,3722.38057015,3902.38057015,4208.65076609,4604.65076609,4916.55096203,4916.55096203,6561.24099823,1644.6900362,78,0.163,2.9957785952,0.6255276756
Q019,S009,A,U02,A-B02,S009-FOD-01,3463.61720288,3763.61720288,3793.61720288,4349.51414024,4529.51414024,5092.2310776,5092.2310776,6215.66648938,1123.43541179,8,0.028,2.15804565618,0.520434298626
Q029,S014,B,U06,B-B02,S014-FOD-01,3478.12669665,3778.12669665,3808.12669665,4420.55946063,4600.55946063,5227.87889127,5227.87889127,6667.84877007,1439.9698788,8,0.028,1.78454587415,0.553863531463
Q003,S001,C,U08,C-B01,S001-WAT-07;S001-WAT-08;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02,3969.30853765,4269.30853765,4449.30853765,4755.57873358,5151.57873358,5463.47892952,5463.47892952,6948.17553833,1484.6966088,56,0.18,2.4050336325,0.699370795937
Q023,S011,A,U01,A-B01,S011-FOD-01,4247.22149939,4547.22149939,4577.22149939,4900.42162555,5080.42162555,5409.24841839,5409.24841839,6227.44680574,818.198387348,8,0.028,1.1014559562,0.755232009732
Q031,S015,A,U04,A-B06,S015-FOD-01,4417.13878845,4717.13878845,4747.13878845,5434.88095664,5614.88095664,6325.74312484,6325.74312484,7507.7873881,1182.04426326,8,0.028,2.36092244974,0.475350566725
Q005,S002,C,U07,C-B04,S002-WAT-02;S002-WAT-03;S002-WAT-04;S002-FOD-01;S002-FOD-02;S002-HYG-01,5252.32042542,5552.32042542,5732.32042542,6343.63643474,6739.63643474,7360.13244406,7360.13244406,9847.08030861,2486.94786455,64,0.172,6.10565365374,0.236793293282
Q013,S006,C,U08,C-B03,S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,5463.47892952,5763.47892952,5883.47892952,6216.90369249,6540.90369249,6893.03845546,6893.03845546,8356.82969264,1463.79123718,42,0.117,2.32784456804,0.709019428995
Q015,S007,C,U08,C-B02,S007-WAT-02;S007-FOD-01;S007-HYG-01,6893.03845546,7193.03845546,7283.03845546,7820.78617938,8108.78617938,8668.6139033,8668.6139033,10355.3951271,1686.78122381,28,0.09,3.15119221098,0.606100973628
Q007,S003,C,U07,C-B01,S003-WAT-02;S003-WAT-03;S003-WAT-04;S003-FOD-01;S003-FOD-02;S003-HYG-01,7360.13244406,7660.13244406,7840.13244406,8609.64801623,9005.64801623,9796.24358839,9796.24358839,12295.0930564,2498.84946804,64,0.172,6.14959803584,0.23130024552
Q009,S004,C,U08,C-B03,S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01,8668.6139033,8968.6139033,9088.6139033,9796.1144366,10120.1144366,10837.6749699,10837.6749699,13165.6084903,2327.93352043,42,0.117,5.51852376776,0.31018452903
Q017,S008,C,U07,C-B04,S008-WAT-02;S008-FOD-01;S008-HYG-01,9847.08030861,10147.0803086,10237.0803086,10924.7763509,11212.7763509,11914.7923932,11914.7923932,14211.045586,2296.25319284,28,0.09,5.40155025048,0.32480621869
Q011,S005,C,U08,C-B02,S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01,10837.6749699,11137.6749699,11257.6749699,11754.907549,12078.907549,12582.8701281,12582.8701281,14441.8728178,1859.00268968,42,0.117,3.78708685422,0.526614143223
