方案编号,组数,单元分组,各组箱数,各组运输架次,各组中继架次,箱数差,运输架次差,中继架次差,库存缺口总数,各类库存缺口,库存未用余量,分组配置总数,各类最少配置,相对共用新增配置,原编号保留缺口总数,原编号保留缺口明细,Pareto非支配
G3-009,3,C01→1; C02→2; C03→1; C04→3; C05→1,58/16/6,23/6/2,10/3/0,52,21,10,11,UA:2; UB:1; UC:3; BB:1; BC:2; RU:2,无,41,UA:6; UB:3; UC:5; BA:6; BB:5; BC:6; RU:4; RE:6,15,17,UA:2; UB:1; UC:3; BA:1; BB:2; BC:3; RU:2; RE:3,否
G3-010,3,C01→1; C02→2; C03→1; C04→3; C05→2,55/19/6,21/8/2,10/3/0,49,19,10,9,UB:1; UC:3; BB:1; BC:2; RU:2,BA:1,38,UA:4; UB:3; UC:5; BA:5; BB:5; BC:6; RU:4; RE:6,12,17,UA:2; UB:1; UC:3; BA:1; BB:2; BC:3; RU:2; RE:3,否
G3-011,3,C01→1; C02→2; C03→1; C04→3; C05→3,55/16/9,21/6/4,10/3/0,46,17,10,12,UA:2; UB:1; UC:3; BA:1; BB:1; BC:2; RU:2,无,42,UA:6; UB:3; UC:5; BA:7; BB:5; BC:6; RU:4; RE:6,16,19,UA:3; UB:1; UC:3; BA:2; BB:2; BC:3; RU:2; RE:3,否
G3-012,3,C01→1; C02→2; C03→2; C04→1; C05→3,46/31/3,20/9/2,10/3/0,43,18,10,12,UA:2; UB:2; UC:2; BA:1; BB:2; BC:1; RU:2,无,42,UA:6; UB:4; UC:4; BA:7; BB:6; BC:5; RU:4; RE:6,16,21,UA:3; UB:2; UC:2; BA:2; BB:3; BC:4; RU:2; RE:3,否
G3-013,3,C01→1; C02→2; C03→2; C04→2; C05→3,40/37/3,18/11/2,10/3/0,37,16,10,9,UA:1; UB:2; UC:2; BB:2; RU:2,无,39,UA:5; UB:4; UC:4; BA:6; BB:6; BC:4; RU:4; RE:6,13,20,UA:2; UB:2; UC:2; BA:2; BB:3; BC:4; RU:2; RE:3,是
G3-014,3,C01→1; C02→2; C03→2; C04→3; C05→1,43/31/6,20/9/2,10/3/0,37,18,10,12,UA:2; UB:2; UC:3; BB:2; BC:1; RU:2,无,42,UA:6; UB:4; UC:5; BA:6; BB:6; BC:5; RU:4; RE:6,16,21,UA:2; UB:2; UC:3; BA:1; BB:3; BC:5; RU:2; RE:3,否
G3-015,3,C01→1; C02→2; C03→2; C04→3; C05→2,40/34/6,18/11/2,10/3/0,34,16,10,10,UB:2; UC:3; BB:2; BC:1; RU:2,BA:1,39,UA:4; UB:4; UC:5; BA:5; BB:6; BC:5; RU:4; RE:6,13,21,UA:2; UB:2; UC:3; BA:1; BB:3; BC:5; RU:2; RE:3,否
G3-016,3,C01→1; C02→2; C03→2; C04→3; C05→3,40/31/9,18/9/4,10/3/0,31,14,10,13,UA:2; UB:2; UC:3; BA:1; BB:2; BC:1; RU:2,无,43,UA:6; UB:4; UC:5; BA:7; BB:6; BC:5; RU:4; RE:6,17,23,UA:3; UB:2; UC:3; BA:2; BB:3; BC:5; RU:2; RE:3,否
G3-017,3,C01→1; C02→2; C03→3; C04→1; C05→1,49/16/15,22/6/3,10/3/0,34,19,10,13,UA:2; UB:2; UC:3; BB:2; BC:2; RU:2,无,43,UA:6; UB:4; UC:5; BA:6; BB:6; BC:6; RU:4; RE:6,17,20,UA:2; UB:2; UC:3; BA:1; BB:3; BC:4; RU:2; RE:3,否
G3-018,3,C01→1; C02→2; C03→3; C04→1; C05→2,46/19/15,20/8/3,10/3/0,31,17,10,11,UB:2; UC:3; BB:2; BC:2; RU:2,BA:1,40,UA:4; UB:4; UC:5; BA:5; BB:6; BC:6; RU:4; RE:6,14,20,UA:2; UB:2; UC:3; BA:1; BB:3; BC:4; RU:2; RE:3,否
G3-019,3,C01→1; C02→2; C03→3; C04→1; C05→3,46/16/18,20/6/5,10/3/0,30,15,10,14,UA:2; UB:2; UC:3; BA:1; BB:2; BC:2; RU:2,无,44,UA:6; UB:4; UC:5; BA:7; BB:6; BC:6; RU:4; RE:6,18,22,UA:3; UB:2; UC:3; BA:2; BB:3; BC:4; RU:2; RE:3,否
G3-020,3,C01→1; C02→2; C03→3; C04→2; C05→1,43/22/15,20/8/3,10/3/0,28,17,10,11,UA:1; UB:2; UC:3; BB:2; BC:1; RU:2,BA:1,40,UA:5; UB:4; UC:5; BA:5; BB:6; BC:5; RU:4; RE:6,14,20,UA:1; UB:2; UC:3; BA:1; BB:3; BC:5; RU:2; RE:3,否
G3-021,3,C01→1; C02→2; C03→3; C04→2; C05→2,40/25/15,18/10/3,10/3/0,25,15,10,10,UB:2; UC:3; BB:2; BC:1; RU:2,BA:1,39,UA:4; UB:4; UC:5; BA:5; BB:6; BC:5; RU:4; RE:6,13,20,UA:1; UB:2; UC:3; BA:1; BB:3; BC:5; RU:2; RE:3,是
G3-022,3,C01→1; C02→2; C03→3; C04→2; C05→3,40/22/18,18/8/5,10/3/0,22,13,10,11,UA:1; UB:2; UC:3; BB:2; BC:1; RU:2,无,41,UA:5; UB:4; UC:5; BA:6; BB:6; BC:5; RU:4; RE:6,15,22,UA:2; UB:2; UC:3; BA:2; BB:3; BC:5; RU:2; RE:3,是
G3-023,3,C01→1; C02→2; C03→3; C04→3; C05→1,43/16/21,20/6/5,10/3/0,27,15,10,14,UA:2; UB:2; UC:4; BB:2; BC:2; RU:2,无,44,UA:6; UB:4; UC:6; BA:6; BB:6; BC:6; RU:4; RE:6,18,21,UA:2; UB:2; UC:4; BA:1; BB:3; BC:4; RU:2; RE:3,否
G3-024,3,C01→1; C02→2; C03→3; C04→3; C05→2,40/19/21,18/8/5,10/3/0,21,13,10,12,UB:2; UC:4; BB:2; BC:2; RU:2,BA:1,41,UA:4; UB:4; UC:6; BA:5; BB:6; BC:6; RU:4; RE:6,15,21,UA:2; UB:2; UC:4; BA:1; BB:3; BC:4; RU:2; RE:3,是
G3-025,3,C01→1; C02→2; C03→3; C04→3; C05→3,40/16/24,18/6/7,10/3/0,24,12,10,15,UA:2; UB:2; UC:4; BA:1; BB:2; BC:2; RU:2,无,45,UA:6; UB:4; UC:6; BA:7; BB:6; BC:6; RU:4; RE:6,19,23,UA:3; UB:2; UC:4; BA:2; BB:3; BC:4; RU:2; RE:3,否
