方案编号,取向,组号,任务编号,任务类别,资源类别,资源代码,新资源编号,原资源编号,开始时刻_s,下次可用时刻_s
G2-015,箱数均衡优先,1,T022,transport,B型共享电池,BB,G1-BB02,B-B02,8473.0,11333.169347092788
G2-015,箱数均衡优先,1,T026,transport,B型共享电池,BB,G1-BB01,B-B04,17391.0,20852.527705237386
G2-015,箱数均衡优先,1,T027,transport,B型共享电池,BB,G1-BB02,B-B02,17437.0,20150.909295323418
G2-015,箱数均衡优先,1,T028,transport,B型共享电池,BB,G1-BB03,B-B03,19194.0,21952.808902003977
G2-015,箱数均衡优先,1,T010,transport,C型共享电池,BC,G1-BC01,C-B01,1980.0,5769.644702372727
G2-015,箱数均衡优先,1,T012,transport,C型共享电池,BC,G1-BC02,C-B02,2030.0,5319.103564368674
G2-015,箱数均衡优先,1,T017,transport,C型共享电池,BC,G1-BC01,C-B03,5864.0,9242.25487784601
G2-015,箱数均衡优先,1,T018,transport,C型共享电池,BC,G1-BC02,C-B04,5876.0,10104.2555691526
G2-015,箱数均衡优先,1,T023,transport,C型共享电池,BC,G1-BC01,C-B03,9838.0,13442.19784787929
G2-015,箱数均衡优先,1,T024,transport,C型共享电池,BC,G1-BC02,C-B04,10631.0,14994.965277430652
G2-015,箱数均衡优先,1,T025,transport,C型共享电池,BC,G1-BC01,C-B04,14996.0,19492.9945870281
G2-015,箱数均衡优先,1,T029,transport,C型共享电池,BC,G1-BC01,C-B02,19839.0,24433.759883193703
G2-015,箱数均衡优先,1,R001,relay,中继无人机,RU,G1-RU01,R02,55.577675532,2151.681682937
G2-015,箱数均衡优先,1,R002,relay,中继无人机,RU,G1-RU02,R01,55.595297664,2242.598767176
G2-015,箱数均衡优先,1,R003,relay,中继无人机,RU,G1-RU01,R02,2152.123774678,4218.371630901
G2-015,箱数均衡优先,1,R006,relay,中继无人机,RU,G1-RU01,R02,6004.601231418,8175.613783739
G2-015,箱数均衡优先,1,R007,relay,中继无人机,RU,G1-RU02,R01,6029.790404553,8290.272922982
G2-015,箱数均衡优先,1,R009,relay,中继无人机,RU,G1-RU01,R01,8550.350839677,17431.095206262
G2-015,箱数均衡优先,1,R010,relay,中继无人机,RU,G1-RU02,R02,10708.790404553,17483.272922982
G2-015,箱数均衡优先,1,R011,relay,中继无人机,RU,G1-RU01,R01,17432.595297664,19573.598767176
G2-015,箱数均衡优先,1,R012,relay,中继无人机,RU,G1-RU02,R02,17484.123774678,22348.371630901
G2-015,箱数均衡优先,1,R013,relay,中继无人机,RU,G1-RU01,R01,19574.577675532,22323.681682937
G2-015,箱数均衡优先,1,R001,relay,中继能源组件,RE,G1-RE01,R-E02,55.577675532,2549.722889016
G2-015,箱数均衡优先,1,R002,relay,中继能源组件,RE,G1-RE02,R-E01,55.595297664,2649.443450013
G2-015,箱数均衡优先,1,R003,relay,中继能源组件,RE,G1-RE03,R-E03,2152.123774678,4601.833621131
G2-015,箱数均衡优先,1,R006,relay,中继能源组件,RE,G1-RE01,R-E06,6004.601231418,8582.46473146
G2-015,箱数均衡优先,1,R007,relay,中继能源组件,RE,G1-RE02,R-E02,6029.790404553,8703.506274556
G2-015,箱数均衡优先,1,R009,relay,中继能源组件,RE,G1-RE03,R-E03,8550.350839677,18671.050107064
G2-015,箱数均衡优先,1,R010,relay,中继能源组件,RE,G1-RE01,R-E05,10708.790404553,18456.837871778
G2-015,箱数均衡优先,1,R011,relay,中继能源组件,RE,G1-RE02,R-E04,17432.595297664,19974.733380568
G2-015,箱数均衡优先,1,R012,relay,中继能源组件,RE,G1-RE04,R-E06,17484.123774678,23079.154801686
G2-015,箱数均衡优先,1,R013,relay,中继能源组件,RE,G1-RE01,R-E02,19574.577675532,22802.781048738
G2-015,箱数均衡优先,2,T003,transport,A型运输无人机,UA,G2-UA02,U02,0.0,1222.0269190036777
G2-015,箱数均衡优先,2,T006,transport,A型运输无人机,UA,G2-UA01,U04,0.0,1162.0269190036777
G2-015,箱数均衡优先,2,T007,transport,A型运输无人机,UA,G2-UA03,U03,1.0,1314.4852665970077
G2-015,箱数均衡优先,2,T013,transport,A型运输无人机,UA,G2-UA01,U02,2101.0,4363.65402217778
G2-015,箱数均衡优先,2,T015,transport,A型运输无人机,UA,G2-UA02,U03,3906.0,5874.604336390146
G2-015,箱数均衡优先,2,T009,transport,B型运输无人机,UB,G2-UB01,U05,1757.0,2966.1015218429493
G2-015,箱数均衡优先,2,T014,transport,B型运输无人机,UB,G2-UB02,U06,2185.0,3761.284389486637
G2-015,箱数均衡优先,2,T016,transport,B型运输无人机,UB,G2-UB01,U06,4066.0,5774.288584020971
G2-015,箱数均衡优先,2,T005,transport,C型运输无人机,UC,G2-UC01,U08,0.0,1429.5595259403667
G2-015,箱数均衡优先,2,T008,transport,C型运输无人机,UC,G2-UC02,U07,12.0,1506.1703918787568
G2-015,箱数均衡优先,2,T020,transport,C型运输无人机,UC,G2-UC01,U08,7946.0,10382.111144337276
G2-015,箱数均衡优先,2,T021,transport,C型运输无人机,UC,G2-UC02,U07,8062.0,9837.575447836247
G2-015,箱数均衡优先,2,T031,transport,C型运输无人机,UC,G2-UC01,U07,21600.0,23094.170391878757
G2-015,箱数均衡优先,2,T003,transport,A型共享电池,BA,G2-BA02,A-B02,0.0,2054.834608045965
G2-015,箱数均衡优先,2,T006,transport,A型共享电池,BA,G2-BA01,A-B06,0.0,1980.2253063517855
G2-015,箱数均衡优先,2,T007,transport,A型共享电池,BA,G2-BA03,A-B03,1.0,2193.3868913392653
G2-015,箱数均衡优先,2,T013,transport,A型共享电池,BA,G2-BA01,A-B05,2101.0,5725.13203546618
G2-015,箱数均衡优先,2,T015,transport,A型共享电池,BA,G2-BA02,A-B06,3906.0,7088.752570063987
G2-015,箱数均衡优先,2,T009,transport,B型共享电池,BB,G2-BB01,B-B03,1757.0,4098.161349474907
G2-015,箱数均衡优先,2,T014,transport,B型共享电池,BB,G2-BB02,B-B04,2185.0,5121.272823181212
G2-015,箱数均衡优先,2,T016,transport,B型共享电池,BB,G2-BB03,B-B02,4066.0,7271.858802720089
G2-015,箱数均衡优先,2,T005,transport,C型共享电池,BC,G2-BC01,C-B04,0.0,2893.3507631183325
G2-015,箱数均衡优先,2,T008,transport,C型共享电池,BC,G2-BC02,C-B03,12.0,3150.860428078608
G2-015,箱数均衡优先,2,T020,transport,C型共享电池,BC,G2-BC01,C-B02,7946.0,12880.960612377443
G2-015,箱数均衡优先,2,T021,transport,C型共享电池,BC,G2-BC02,C-B01,8062.0,11524.356671642208
G2-015,箱数均衡优先,2,T031,transport,C型共享电池,BC,G2-BC01,C-B04,21600.0,24578.86700068177
G2-015,箱数均衡优先,2,R004,relay,中继无人机,RU,G2-RU01,R01,2243.16479133,6028.727665742
G2-015,箱数均衡优先,2,R005,relay,中继无人机,RU,G2-RU02,R02,4219.371599213,6003.655923573
G2-015,箱数均衡优先,2,R008,relay,中继无人机,RU,G2-RU01,R02,8176.16479133,10707.727665742
G2-015,箱数均衡优先,2,R004,relay,中继能源组件,RE,G2-RE01,R-E04,2243.16479133,6629.488299177
G2-015,箱数均衡优先,2,R005,relay,中继能源组件,RE,G2-RE02,R-E05,4219.371599213,6358.58974019
G2-015,箱数均衡优先,2,R008,relay,中继能源组件,RE,G2-RE01,R-E01,8176.16479133,11152.826840844
G3-002,缺口优先,1,T002,transport,A型运输无人机,UA,G1-UA01,U01,0.0,1688.6138747138468
G3-002,缺口优先,1,T007,transport,A型运输无人机,UA,G1-UA02,U03,1.0,1314.4852665970077
G3-002,缺口优先,1,T011,transport,A型运输无人机,UA,G1-UA01,U04,1995.0,3607.1111816649363
G3-002,缺口优先,1,T013,transport,A型运输无人机,UA,G1-UA02,U02,2101.0,4363.65402217778
G3-002,缺口优先,1,T015,transport,A型运输无人机,UA,G1-UA01,U03,3906.0,5874.604336390146
G3-002,缺口优先,1,T030,transport,A型运输无人机,UA,G1-UA01,U04,20169.0,22099.40453445217
G3-002,缺口优先,1,T001,transport,B型运输无人机,UB,G1-UB01,U05,0.0,1756.693933922209
G3-002,缺口优先,1,T004,transport,B型运输无人机,UB,G1-UB02,U06,0.0,1862.7345559697276
G3-002,缺口优先,1,T014,transport,B型运输无人机,UB,G1-UB01,U06,2185.0,3761.284389486637
G3-002,缺口优先,1,T016,transport,B型运输无人机,UB,G1-UB01,U06,4066.0,5774.288584020971
G3-002,缺口优先,1,T019,transport,B型运输无人机,UB,G1-UB01,U05,5939.0,7840.842307167517
G3-002,缺口优先,1,T022,transport,B型运输无人机,UB,G1-UB01,U06,8473.0,9911.442247394774
G3-002,缺口优先,1,T026,transport,B型运输无人机,UB,G1-UB01,U06,17391.0,19193.734555969728
G3-002,缺口优先,1,T027,transport,B型运输无人机,UB,G1-UB02,U05,17437.0,18827.470280292888
G3-002,缺口优先,1,T028,transport,B型运输无人机,UB,G1-UB01,U06,19194.0,20629.376902446533
G3-002,缺口优先,1,T005,transport,C型运输无人机,UC,G1-UC01,U08,0.0,1429.5595259403667
G3-002,缺口优先,1,T010,transport,C型运输无人机,UC,G1-UC01,U07,1980.0,3949.2846571841305
G3-002,缺口优先,1,T012,transport,C型运输无人机,UC,G1-UC02,U08,2030.0,3632.7057476613772
G3-002,缺口优先,1,T017,transport,C型运输无人机,UC,G1-UC01,U08,5864.0,7477.195158195356
G3-002,缺口优先,1,T018,transport,C型运输无人机,UC,G1-UC02,U07,5876.0,7913.061066593167
G3-002,缺口优先,1,T020,transport,C型运输无人机,UC,G1-UC01,U08,7946.0,10382.111144337276
G3-002,缺口优先,1,T021,transport,C型运输无人机,UC,G1-UC02,U07,8062.0,9837.575447836247
G3-002,缺口优先,1,T023,transport,C型运输无人机,UC,G1-UC02,U07,9838.0,11583.195158195356
G3-002,缺口优先,1,T024,transport,C型运输无人机,UC,G1-UC01,U08,10631.0,12698.712084592647
G3-002,缺口优先,1,T025,transport,C型运输无人机,UC,G1-UC01,U07,14996.0,17165.061066593167
G3-002,缺口优先,1,T029,transport,C型运输无人机,UC,G1-UC01,U08,19839.0,21946.812018639008
G3-002,缺口优先,1,T002,transport,A型共享电池,BA,G1-BA01,A-B01,0.0,2840.00758340019
G3-002,缺口优先,1,T007,transport,A型共享电池,BA,G1-BA02,A-B03,1.0,2193.3868913392653
G3-002,缺口优先,1,T011,transport,A型共享电池,BA,G1-BA03,A-B04,1995.0,4672.740344829662
G3-002,缺口优先,1,T013,transport,A型共享电池,BA,G1-BA04,A-B05,2101.0,5725.13203546618
G3-002,缺口优先,1,T015,transport,A型共享电池,BA,G1-BA01,A-B06,3906.0,7088.752570063987
G3-002,缺口优先,1,T030,transport,A型共享电池,BA,G1-BA01,A-B06,20169.0,23231.659145176483
G3-002,缺口优先,1,T001,transport,B型共享电池,BB,G1-BB01,B-B01,0.0,3477.5022779255505
G3-002,缺口优先,1,T004,transport,B型共享电池,BB,G1-BB02,B-B02,0.0,3599.3998749142474
G3-002,缺口优先,1,T014,transport,B型共享电池,BB,G1-BB03,B-B04,2185.0,5121.272823181212
G3-002,缺口优先,1,T016,transport,B型共享电池,BB,G1-BB01,B-B02,4066.0,7271.858802720089
G3-002,缺口优先,1,T019,transport,B型共享电池,BB,G1-BB02,B-B01,5939.0,9663.519312659624
G3-002,缺口优先,1,T022,transport,B型共享电池,BB,G1-BB01,B-B02,8473.0,11333.169347092788
G3-002,缺口优先,1,T026,transport,B型共享电池,BB,G1-BB01,B-B04,17391.0,20852.527705237386
G3-002,缺口优先,1,T027,transport,B型共享电池,BB,G1-BB02,B-B02,17437.0,20150.909295323418
G3-002,缺口优先,1,T028,transport,B型共享电池,BB,G1-BB03,B-B03,19194.0,21952.808902003977
G3-002,缺口优先,1,T005,transport,C型共享电池,BC,G1-BC01,C-B04,0.0,2893.3507631183325
G3-002,缺口优先,1,T010,transport,C型共享电池,BC,G1-BC02,C-B01,1980.0,5769.644702372727
G3-002,缺口优先,1,T012,transport,C型共享电池,BC,G1-BC03,C-B02,2030.0,5319.103564368674
G3-002,缺口优先,1,T017,transport,C型共享电池,BC,G1-BC01,C-B03,5864.0,9242.25487784601
G3-002,缺口优先,1,T018,transport,C型共享电池,BC,G1-BC02,C-B04,5876.0,10104.2555691526
G3-002,缺口优先,1,T020,transport,C型共享电池,BC,G1-BC03,C-B02,7946.0,12880.960612377443
G3-002,缺口优先,1,T021,transport,C型共享电池,BC,G1-BC04,C-B01,8062.0,11524.356671642208
G3-002,缺口优先,1,T023,transport,C型共享电池,BC,G1-BC01,C-B03,9838.0,13442.19784787929
G3-002,缺口优先,1,T024,transport,C型共享电池,BC,G1-BC02,C-B04,10631.0,14994.965277430652
G3-002,缺口优先,1,T025,transport,C型共享电池,BC,G1-BC01,C-B04,14996.0,19492.9945870281
G3-002,缺口优先,1,T029,transport,C型共享电池,BC,G1-BC01,C-B02,19839.0,24433.759883193703
G3-002,缺口优先,1,R001,relay,中继无人机,RU,G1-RU01,R02,55.577675532,2151.681682937
G3-002,缺口优先,1,R002,relay,中继无人机,RU,G1-RU02,R01,55.595297664,2242.598767176
G3-002,缺口优先,1,R003,relay,中继无人机,RU,G1-RU01,R02,2152.123774678,4218.371630901
G3-002,缺口优先,1,R004,relay,中继无人机,RU,G1-RU02,R01,2243.16479133,6028.727665742
G3-002,缺口优先,1,R005,relay,中继无人机,RU,G1-RU01,R02,4219.371599213,6003.655923573
G3-002,缺口优先,1,R006,relay,中继无人机,RU,G1-RU01,R02,6004.601231418,8175.613783739
G3-002,缺口优先,1,R007,relay,中继无人机,RU,G1-RU02,R01,6029.790404553,8290.272922982
G3-002,缺口优先,1,R008,relay,中继无人机,RU,G1-RU01,R02,8176.16479133,10707.727665742
G3-002,缺口优先,1,R009,relay,中继无人机,RU,G1-RU02,R01,8550.350839677,17431.095206262
G3-002,缺口优先,1,R010,relay,中继无人机,RU,G1-RU01,R02,10708.790404553,17483.272922982
G3-002,缺口优先,1,R011,relay,中继无人机,RU,G1-RU02,R01,17432.595297664,19573.598767176
G3-002,缺口优先,1,R012,relay,中继无人机,RU,G1-RU01,R02,17484.123774678,22348.371630901
G3-002,缺口优先,1,R013,relay,中继无人机,RU,G1-RU02,R01,19574.577675532,22323.681682937
G3-002,缺口优先,1,R001,relay,中继能源组件,RE,G1-RE01,R-E02,55.577675532,2549.722889016
G3-002,缺口优先,1,R002,relay,中继能源组件,RE,G1-RE02,R-E01,55.595297664,2649.443450013
G3-002,缺口优先,1,R003,relay,中继能源组件,RE,G1-RE03,R-E03,2152.123774678,4601.833621131
G3-002,缺口优先,1,R004,relay,中继能源组件,RE,G1-RE04,R-E04,2243.16479133,6629.488299177
G3-002,缺口优先,1,R005,relay,中继能源组件,RE,G1-RE01,R-E05,4219.371599213,6358.58974019
G3-002,缺口优先,1,R006,relay,中继能源组件,RE,G1-RE02,R-E06,6004.601231418,8582.46473146
G3-002,缺口优先,1,R007,relay,中继能源组件,RE,G1-RE03,R-E02,6029.790404553,8703.506274556
G3-002,缺口优先,1,R008,relay,中继能源组件,RE,G1-RE01,R-E01,8176.16479133,11152.826840844
G3-002,缺口优先,1,R009,relay,中继能源组件,RE,G1-RE04,R-E03,8550.350839677,18671.050107064
G3-002,缺口优先,1,R010,relay,中继能源组件,RE,G1-RE02,R-E05,10708.790404553,18456.837871778
G3-002,缺口优先,1,R011,relay,中继能源组件,RE,G1-RE01,R-E04,17432.595297664,19974.733380568
G3-002,缺口优先,1,R012,relay,中继能源组件,RE,G1-RE03,R-E06,17484.123774678,23079.154801686
G3-002,缺口优先,1,R013,relay,中继能源组件,RE,G1-RE02,R-E02,19574.577675532,22802.781048738
