架次编号,航段序号,起点,终点,离开时载货质量（kg）,飞行时间（s）,航段能耗（kWh）,抵达时刻（s）
Q025,1,O01,S004,14,672.470672253,1.35739776552,6702.02816368
Q025,2,S004,O01,0,679.17733892,1.14391039431,7561.2055026
Q027,1,O01,S001,6,338.573905965,0.604766146207,6969.52532084
Q027,2,S001,O01,0,342.327239299,0.573311783667,7491.85256014
Q028,1,O01,S005,14,558.854792476,1.10064252906,7708.23839655
Q028,2,S005,O01,0,563.341459142,0.985330263833,8451.57985569
Q026,1,O01,S006,20,312.401789744,0.670366579831,7580.9494861
Q026,2,S006,S005,14,529.817154628,1.04099791556,8290.76664073
Q026,3,S005,O01,0,475.330764319,0.786705375388,8946.09740505
Q029,1,O01,S005,14,470.844097652,0.933168226453,8392.04960025
Q029,2,S005,S004,6,285.815077947,0.433343515241,8857.8646782
Q029,3,S004,O01,0,679.17733892,1.14391039431,9717.04201712
Q031,1,O01,S004,8,801.049493169,1.52067973242,8786.80239122
Q031,2,S004,O01,0,807.756159836,1.43367334362,9774.55855106
Q030,1,O01,S008,6,687.696042296,2.58412114362,8726.00850733
Q030,2,S008,O01,0,702.016042296,2.51286821175,9644.02454963
Q033,1,O01,S003,8,839.300344422,1.48466105222,8954.90789032
Q033,2,S003,O01,0,853.353677756,1.36655907846,9988.26156807
Q032,1,O01,S005,14,497.232579098,1.7545889394,8655.34692707
Q032,2,S005,O01,0,503.962579098,1.65957785188,9375.30950617
