box_id,zone_id,item_type,mass_kg,volume_m3,is_first_batch,first_deadline_s,expected_s,priority,source_file,source_sheet,source_row,medical_bool,hard_deadline_s
S006-WAT-01,S006,饮用水,14,0.027,True,3600,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,46,False,3600
S006-WAT-02,S006,饮用水,14,0.027,False,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,47,False,
S006-WAT-03,S006,饮用水,14,0.027,False,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,48,False,
S006-FOD-01,S006,应急食品,8,0.028,False,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,49,False,
S006-HYG-01,S006,生活卫生用品,6,0.035,False,,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,50,False,
S007-MED-01,S007,医疗物资,3,0.012,True,3600,3600,24,物资需求与配送时限.xlsx,逐箱货箱清单,51,True,3600
S007-WAT-01,S007,饮用水,14,0.027,True,3600,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,52,False,3600
S007-WAT-02,S007,饮用水,14,0.027,False,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,53,False,
S007-FOD-01,S007,应急食品,8,0.028,False,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,54,False,
S007-HYG-01,S007,生活卫生用品,6,0.035,False,,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,55,False,
S008-MED-01,S008,医疗物资,3,0.012,True,7200,7200,20,物资需求与配送时限.xlsx,逐箱货箱清单,56,True,7200
S008-WAT-01,S008,饮用水,14,0.027,True,7200,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,57,False,7200
S008-WAT-02,S008,饮用水,14,0.027,False,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,58,False,
S008-FOD-01,S008,应急食品,8,0.028,False,,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,59,False,
S008-HYG-01,S008,生活卫生用品,6,0.035,False,,14400,6,物资需求与配送时限.xlsx,逐箱货箱清单,60,False,
S009-MED-01,S009,医疗物资,3,0.012,True,10800,10800,16,物资需求与配送时限.xlsx,逐箱货箱清单,61,True,10800
S009-WAT-01,S009,饮用水,14,0.027,True,10800,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,62,False,10800
S009-FOD-01,S009,应急食品,8,0.028,False,,14400,6,物资需求与配送时限.xlsx,逐箱货箱清单,63,False,
S010-MED-01,S010,医疗物资,3,0.012,True,3600,3600,24,物资需求与配送时限.xlsx,逐箱货箱清单,64,True,3600
S010-WAT-01,S010,饮用水,14,0.027,True,3600,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,65,False,3600
S010-FOD-01,S010,应急食品,8,0.028,False,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,66,False,
S011-MED-01,S011,医疗物资,3,0.012,True,10800,10800,16,物资需求与配送时限.xlsx,逐箱货箱清单,67,True,10800
S011-WAT-01,S011,饮用水,14,0.027,True,10800,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,68,False,10800
S011-FOD-01,S011,应急食品,8,0.028,False,,14400,6,物资需求与配送时限.xlsx,逐箱货箱清单,69,False,
S012-MED-01,S012,医疗物资,3,0.012,True,3600,7200,22,物资需求与配送时限.xlsx,逐箱货箱清单,70,True,3600
S012-WAT-01,S012,饮用水,14,0.027,True,3600,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,71,False,3600
S012-FOD-01,S012,应急食品,8,0.028,False,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,72,False,
S013-MED-01,S013,医疗物资,3,0.012,True,3600,3600,24,物资需求与配送时限.xlsx,逐箱货箱清单,73,True,3600
S013-WAT-01,S013,饮用水,14,0.027,True,3600,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,74,False,3600
S013-FOD-01,S013,应急食品,8,0.028,False,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,75,False,
S014-MED-01,S014,医疗物资,3,0.012,True,3600,7200,22,物资需求与配送时限.xlsx,逐箱货箱清单,76,True,3600
S014-WAT-01,S014,饮用水,14,0.027,True,3600,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,77,False,3600
S014-FOD-01,S014,应急食品,8,0.028,False,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,78,False,
S015-MED-01,S015,医疗物资,3,0.012,True,7200,7200,18,物资需求与配送时限.xlsx,逐箱货箱清单,79,True,7200
S015-WAT-01,S015,饮用水,14,0.027,True,10800,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,80,False,10800
S015-FOD-01,S015,应急食品,8,0.028,False,,14400,6,物资需求与配送时限.xlsx,逐箱货箱清单,81,False,
