货箱编号,服务区编号,物资类型,单箱质量（kg）,单箱体积（m³）,是否首批保障,首批截止时间（s）,期望送达时间（s）,应急优先系数,source_file,source_sheet,source_row
S004-WAT-02,S004,饮用水,14,0.027,否,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,35
S004-WAT-03,S004,饮用水,14,0.027,否,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,36
S004-FOD-01,S004,应急食品,8,0.028,否,,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,37
S004-HYG-01,S004,生活卫生用品,6,0.035,否,,14400,6,物资需求与配送时限.xlsx,逐箱货箱清单,38
S005-MED-01,S005,医疗物资,3,0.012,是,10800,10800,16,物资需求与配送时限.xlsx,逐箱货箱清单,39
S005-WAT-01,S005,饮用水,14,0.027,是,10800,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,40
S005-WAT-02,S005,饮用水,14,0.027,否,,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,41
S005-WAT-03,S005,饮用水,14,0.027,否,,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,42
S005-FOD-01,S005,应急食品,8,0.028,否,,14400,6,物资需求与配送时限.xlsx,逐箱货箱清单,43
S005-HYG-01,S005,生活卫生用品,6,0.035,否,,18000,4,物资需求与配送时限.xlsx,逐箱货箱清单,44
S006-MED-01,S006,医疗物资,3,0.012,是,3600,3600,24,物资需求与配送时限.xlsx,逐箱货箱清单,45
S006-WAT-01,S006,饮用水,14,0.027,是,3600,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,46
S006-WAT-02,S006,饮用水,14,0.027,否,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,47
S006-WAT-03,S006,饮用水,14,0.027,否,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,48
S006-FOD-01,S006,应急食品,8,0.028,否,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,49
S006-HYG-01,S006,生活卫生用品,6,0.035,否,,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,50
S007-MED-01,S007,医疗物资,3,0.012,是,3600,3600,24,物资需求与配送时限.xlsx,逐箱货箱清单,51
S007-WAT-01,S007,饮用水,14,0.027,是,3600,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,52
S007-WAT-02,S007,饮用水,14,0.027,否,,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,53
S007-FOD-01,S007,应急食品,8,0.028,否,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,54
S007-HYG-01,S007,生活卫生用品,6,0.035,否,,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,55
S008-MED-01,S008,医疗物资,3,0.012,是,7200,7200,20,物资需求与配送时限.xlsx,逐箱货箱清单,56
S008-WAT-01,S008,饮用水,14,0.027,是,7200,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,57
S008-WAT-02,S008,饮用水,14,0.027,否,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,58
S008-FOD-01,S008,应急食品,8,0.028,否,,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,59
S008-HYG-01,S008,生活卫生用品,6,0.035,否,,14400,6,物资需求与配送时限.xlsx,逐箱货箱清单,60
S009-MED-01,S009,医疗物资,3,0.012,是,10800,10800,16,物资需求与配送时限.xlsx,逐箱货箱清单,61
S009-WAT-01,S009,饮用水,14,0.027,是,10800,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,62
S009-FOD-01,S009,应急食品,8,0.028,否,,14400,6,物资需求与配送时限.xlsx,逐箱货箱清单,63
S010-MED-01,S010,医疗物资,3,0.012,是,3600,3600,24,物资需求与配送时限.xlsx,逐箱货箱清单,64
S010-WAT-01,S010,饮用水,14,0.027,是,3600,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,65
S010-FOD-01,S010,应急食品,8,0.028,否,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,66
S011-MED-01,S011,医疗物资,3,0.012,是,10800,10800,16,物资需求与配送时限.xlsx,逐箱货箱清单,67
S011-WAT-01,S011,饮用水,14,0.027,是,10800,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,68
S011-FOD-01,S011,应急食品,8,0.028,否,,14400,6,物资需求与配送时限.xlsx,逐箱货箱清单,69
S012-MED-01,S012,医疗物资,3,0.012,是,3600,7200,22,物资需求与配送时限.xlsx,逐箱货箱清单,70
S012-WAT-01,S012,饮用水,14,0.027,是,3600,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,71
S012-FOD-01,S012,应急食品,8,0.028,否,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,72
S013-MED-01,S013,医疗物资,3,0.012,是,3600,3600,24,物资需求与配送时限.xlsx,逐箱货箱清单,73
S013-WAT-01,S013,饮用水,14,0.027,是,3600,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,74
S013-FOD-01,S013,应急食品,8,0.028,否,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,75
S014-MED-01,S014,医疗物资,3,0.012,是,3600,7200,22,物资需求与配送时限.xlsx,逐箱货箱清单,76
S014-WAT-01,S014,饮用水,14,0.027,是,3600,3600,12,物资需求与配送时限.xlsx,逐箱货箱清单,77
S014-FOD-01,S014,应急食品,8,0.028,否,,7200,10,物资需求与配送时限.xlsx,逐箱货箱清单,78
S015-MED-01,S015,医疗物资,3,0.012,是,7200,7200,18,物资需求与配送时限.xlsx,逐箱货箱清单,79
S015-WAT-01,S015,饮用水,14,0.027,是,10800,10800,8,物资需求与配送时限.xlsx,逐箱货箱清单,80
S015-FOD-01,S015,应急食品,8,0.028,否,,14400,6,物资需求与配送时限.xlsx,逐箱货箱清单,81
